database_identifier,Succinic acid,group_type
C00562,0.5197806408905118,Control
C00568,-5.119448651042902,Control
C00569,-1.3115860109817272,Control
C00577,-5.414967617076012,Control
C00581,-2.018068579945753,Control
C00582,0.5170598697693232,Control
C00583,-4.648820997731593,Control
C00592,-4.3483493497468055,Control
C00594,0.431059324537506,Control
C00598,-1.9866812856216447,Control
C00603,-0.1646052720816848,Control
C00604,-0.3764959003265046,Control
C00605,0.3552188450642636,Control
C00608,0.4942409586076948,Control
C00609,-3.120985001066706,Control
C00613,-0.8401491817814277,Control
C00615,0.5679442553758186,Control
C00618,-2.993053942849363,Control
C00619,-0.3236694361864078,Control
C00621,0.1051335523581663,Control
C00622,-0.2330291685352792,Control
C00623,-4.742356422891081,Control
C00631,-4.556379458103211,Control
C00633,-1.8547257535079935,Control
C00637,-4.856729568616117,Control
C00639,-4.868341277732224,Control
C00640,0.1949580462465988,Control
C00641,0.4698323510177014,Control
C00643,0.3626199041904286,Control
C00646,0.3972145918133835,Control
C00662,-0.1342482943547983,Control
C00664,0.2842785132297381,Control
C00670,0.2082280600036118,Control
C00673,0.090747267354042,Control
C00675,0.2583856192986294,Control
C00679,0.5205486022763035,Control
C00681,0.5941134205405808,Control
C00682,0.3972006074038622,Control
C00683,0.5251867763400185,Control
C00685,0.2622316021817597,Control
C00688,0.3365842761384573,Control
C00693,0.2935542636489588,Control
C00696,-0.0540869933394898,Control
C00699,0.2669759826495358,Control
C00700,0.3407698662729787,Control
C00702,0.3492684808194117,Control
C00704,0.3344846846972127,Control
C00707,0.3873171724198492,Control
C00722,0.0582327360040763,Control
C00723,0.2961997826567296,Control
C00731,0.3541023253545527,Control
